"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2000","2000","PC","Percentage","0","Units",,,2.85303039287154,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.36990330551796,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2002","2002","PC","Percentage","0","Units",,,3.6003465829091,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2003","2003","PC","Percentage","0","Units",,,3.218990906829,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.36536204097301,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.27716394887833,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.10766545871054,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.45396528138739,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.58850657657964,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.835530021504193,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.40257289895372,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.65301100430727,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.77333854051582,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.27441666666667,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.278153367467448,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.487938623904743,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.60739707464168,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.36861411643482,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.993715683468212,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.338178410046166,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-0.0124383299576083,,
"CPALTT01","Consumer prices: all items","PRT","Portugal","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,1.26565719069045,,
